grad_cetv,naziv,adresa,telefon,fax,email,web,nadlezan,izvor,izradio,x,y
Donja Dubrava,DVD Dubrava,Vrpoljska ulica 10,01 2995 095,,dubrava@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.053060314000050,45.828287973000045
Donji Grad,Vatrogasna postaja Centar,Savska cesta 1/3,01 4896 111,01 489 6176,postaja.centar@vatrogasci-zagreb.hr,https://vatrogasci.zagreb.hr/,Ministarstvo unutarnjih poslova,Javna vatrogasna postrojba Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.968558470000062,45.806613938000055
Gornja Dubrava,DVD Branovec,Branovečka cesta 94,01 2985 387,,branovec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.074464255000066,45.857107092000035
Gornja Dubrava,DVD Čučerje,Talani Čučerski 1,01 2986 539,,cucerje@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.058495812000046,45.893761602000040
Gornja Dubrava,DVD Dankovec,Čopci 32,01 2984 075,,dankovec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.053570120000074,45.873014329000060
Gornja Dubrava,DVD Granešina,Granešina 18,01 2984 077,,granesina@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.054246490000025,45.848763115000054
Gornja Dubrava,DVD Granešinski Novaki,Novačka ulica 200,01 2912 337,,granesinski-novaki@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.035126970000020,45.851036999000030
Gornja Dubrava,DVD Miroševac,Miroševečka cesta 131,01 2980 339,,mirosevac@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.036536210000065,45.867923006000070
Gornja Dubrava,Vatrogasna postaja Dubrava,Klin 19,01 4896 150,,postaja.dubrava@vatrogasci-zagreb.hr,https://vatrogasci.zagreb.hr/,Ministarstvo unutarnjih poslova,Javna vatrogasna postrojba Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.063037859000076,45.831227764000060
Gornji Grad - Medveščak,DVD Zagreb,Mlinarska cesta 42,01 4677 970,,zagreb@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.977998869000032,45.828602269000044
Maksimir,DVD Bukovac,IX. Bukovački ogranak 2,01 2341 178,01 234 1178,bukovac@vzgz.hr,http://www.dvd-bukovac.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.006965939000054,45.843432621000034
Maksimir,DVD Maksimir,Maksimirska cesta 51A,01 2312 016,01 231 2016,maksimir@vzgz.hr,http://dvd-maksimir.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.003082917000030,45.816759186000070
Novi Zagreb - istok,DVD Buzin,"Buzinska Cesta 20, Buzin",01 6608 461,,buzin@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.994323278000024,45.751523176000035
Novi Zagreb - istok,DVD Hrelić,Ulica sv. Mateja 91,01 6602 695,01 660 2695,hrelic@vzgz.hr,http://www.dvd-hrelic.hr,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.001331737000044,45.763950664000050
Novi Zagreb - istok,DVD Jakuševec,Gata 1,01 6609 532,,jakusevec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.015803133000077,45.760806371000060
Novi Zagreb - zapad,DVD Blato,Karlovačka cesta 195B,01 6140 886,01 614 0886,blato@vzgz.hr,http://www.dvdblato-zagreb.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.911955129000035,45.759405417000040
Novi Zagreb - zapad,DVD Botinec,Ulica Zlatarova zlata 79,01 6524 681,,botinec@vzgz.hr,http://www.dvdbotinec.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.937528196000073,45.752878865000070
Novi Zagreb - zapad,DVD Hrašće,"Trg Jurja Muliha 8, Hrašće Turopoljsko",01 6261 033,,hrasce@vzgz.hrNULL,www.dvd-hrasce.hr,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.004083621000063,45.730709980000030
Novi Zagreb - zapad,DVD Mala Mlaka,"Malomlačka ulica 91, Mala Mlaka",01 6233 550,,mala-mlaka@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.977197251000064,45.728818031000060
Novi Zagreb - zapad,DVD Odra,"Odranska ulica 82A, Odra",01 6262 600,,odra@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.994473913000036,45.730236046000070
Novi Zagreb - zapad,DVD Sveta Klara,Mrkšina ulica 38,01 6570 374,,sveta-klara@vzgz.hr,http://dvd-svetaklara.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.971149592000074,45.756798280000055
Novi Zagreb - zapad,Vatrogasna postaja Novi Zagreb,Ulica Radoslava Cimermana 84,01 4896 140,,postaja.novi-zagreb@vatrogasci-zagreb.hr,https://vatrogasci.zagreb.hr/,Ministarstvo unutarnjih poslova,Javna vatrogasna postrojba Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.964982168000063,45.779322835000070
Peščenica - Žitnjak,DVD Ivanja Reka,"Ivanjorečka cesta 5, Ivanja Reka",01 2024 570,,ivanja-rijeka@vzgz.hr,http://dvdivanjarijeka.hr,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.119081628000060,45.798091053000064
Peščenica - Žitnjak,DVD Resnik - Zagreb,I. Resnik 48,01 2024 444,01 202 4444,resnik@vzgz.hr,http://www.dvd-resnik-zagreb.hr,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.081521823000060,45.802949305000030
Peščenica - Žitnjak,Vatrogasna postaja Žitnjak,Capraška ulica 2,01 4896 120,,postaja.zitnjak @vatrogasci-zagreb.hr,https://vatrogasci.zagreb.hr/,Ministarstvo unutarnjih poslova,Javna vatrogasna postrojba Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.015044458000034,45.795081768000045
Podsljeme,DVD Gračani,Gračanski Mihaljevac 3,01 4674 029,01 467 4029,gracani@vzgz.hr,http://dvdgracani.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.973785357000054,45.853791566000040
Podsljeme,DVD Šestine,Šestinski vijenac 2,01 4674 211,,sestine@vzgz.hr,http://www.dvd-sestine.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.949958069000047,45.852222144000050
Podsljeme,DVD Vidovec,Vidovec 111,01 2980 902,,vidovec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.035884920000058,45.902155144000060
Podsused - Vrapče,DVD Vrapče,Ilica 421/2,01 3456 577,,vrapce@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.905703201000051,45.812585862000050
Sesvete,DVD Adamovec,"Ulica Dragutina M. Domjanića 56, Adamovec",,,adamovec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.163547284000060,45.904232009000054
Sesvete,DVD Belovar,"Varaždinska ulica 36, Belovar",01 2042 422,,belovar@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.175402827000028,45.882267896000030
Sesvete,DVD Blaguša,"Blaguška ulica 63, Blaguša",01 2004 897,,blagusa@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.130081665000034,45.928958316000035
Sesvete,DVD Cerje,"Podolnica 15, Cerje",01 2009 695,,cerje@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.189279631000034,45.830128615000035
Sesvete,DVD Glavničica,Glavničica 6,01 2008 528,,glavnicica@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.212062776000040,45.847487293000030
Sesvete,DVD Kašina,Cesta Ivana Mažuranića 18A,01 2056 126,,kasina@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.125594471000056,45.905788634000030
Sesvete,DVD Kašina Gornja,"Cesta Ivana Mažuranića 152, Kašina",01 2056 154,,kasina-gornja@vzgz.hr,www.dvdkg.com,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.119284491000030,45.923455182000055
Sesvete,DVD Kobiljak,"Kobiljačka ulica 75, Sesvete",01 2046 156,,kobiljak@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.161335273000077,45.822141641000030
Sesvete,DVD Kučilovina,"Kučilovečka cesta 52, Kučilovina",01 2044 792,01 204 4792,kucilovina@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.091729680000070,45.912614191000046
Sesvete,DVD Lužan,"Augusta Šenoe 46, Lužan",01 2043 310,,luzan@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.196052088000044,45.885745392000050
Sesvete,DVD Moravče,"Prigorska ulica 88, Moravče",01 2043 144,01 204 3144,moravce@vzgz.hr,www.dvdmoravce.hr,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.167703582000060,45.936036549000050
Sesvete,DVD Planina Donja,"Ulica 9. maja 1, Planina Donja",01 2007 650,,planina-donja@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.090881848000038,45.926563834000035
Sesvete,DVD Planina Gornja,"Sesvetska ulica 19, Planina Gornja",01 2055 481,,planina-gornja@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.079311898000070,45.937259033000030
Sesvete,DVD Sesvete,"Varaždinska cesta 42, Sesvete",01 2000 125,01 200 0125,sesvete@vzgz.hr,http://www.dvd-sesvete.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.116435522000074,45.830366821000040
Sesvete,DVD Sesvetska Selnica,"Selnička ulica 69, Sesvete",01 2005 010,,sesvetska-selnica@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.134012742000040,45.816624441000044
Sesvete,DVD Sesvetski Kraljevec,"Željeznička ulica 13, Sesvete",01 2046 569,,sesvetski-kraljevec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.174099235000030,45.814283881000050
Sesvete,DVD Šašinovec,"Ulica Ivana Granđe 75, Šašinovec",01 2056 560,,sasinovec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.165370572000030,45.850004934000026
Sesvete,DVD Vugrovec,"Ulica Augusta Šenoe 49, Vugrovec",01 2045 136,,vugrovec-donji@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.108874285000070,45.880523979000030
Stenjevec,DVD Zapad (Vrapče Jug),Medarska ulica 80,01 3886 089,,zapad@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.910790772000041,45.807560487000046
Stenjevec,Vatrogasna postaja Jankomir,Jankomir 2,01 4896 130,,postaja.jankomir@vatrogasci-zagreb.hr,https://vatrogasci.zagreb.hr/,Ministarstvo unutarnjih poslova,Javna vatrogasna postrojba Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.878744781000023,45.810774421000076
Trešnjevka - jug,DVD Jarun,Ulica don Petra Šimića 2,01 3832 356,,jarun@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.927941951000037,45.786943931000050
Trešnjevka - jug,DVD Prečko,Jarnovićeva ulica 19,01 3865 010,,precko@vzgz.hr,www.dvdprecko.hr,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.898050732000058,45.791684909000026
Trešnjevka - jug,Vatrogasna zajednica Grada Zagreba,Našička ulica 14,01 4628 720,01 467 7969,vzgz@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Javna vatrogasna postrojba Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.932145987000070,45.791081842000040
Trešnjevka - sjever,DVD Trešnjevka,Selska cesta 116,01 3634 052,,tresnjevka@vzgz.hr,http://www.dvdtresnjevka.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.942999457000042,45.797913537000056
Trnje,DVD Trnje,Ulica Pere Budmanija 9,01 6184 524,,trnje@vzgz.hr,https://dvdtrnje.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",16.000656899000035,45.802227621000040
